date,state,district,pincode,bio_age_5_17,bio_age_17_,total_updates
2025-12-28,Rajasthan,Jaipur,302023,0,2,2
2025-12-28,Rajasthan,Jaipur,302034,4,0,4
2025-12-28,Rajasthan,Jaipur,303012,8,10,18
2025-12-28,Rajasthan,Jaipur,303103,4,2,6
2025-12-28,Rajasthan,Jaipur,303105,6,0,6
2025-12-28,Rajasthan,Jaipur,303106,3,0,3
2025-12-28,Rajasthan,Jaipur,303109,11,20,31
2025-12-28,Rajasthan,Jaipur,303302,2,6,8
2025-12-28,Rajasthan,Jaipur,303602,9,7,16
2025-12-28,Rajasthan,Jaipur,303712,6,3,9
2025-12-28,Rajasthan,Jaipur,303801,2,3,5
2025-12-28,Rajasthan,Jaipur,303803,2,5,7
2025-12-27,Rajasthan,Jaipur,302002,44,47,91
2025-12-27,Rajasthan,Jaipur,302006,22,22,44
2025-12-27,Rajasthan,Jaipur,302012,98,97,195
2025-12-27,Rajasthan,Jaipur,302019,19,16,35
2025-12-27,Rajasthan,Jaipur,302027,29,26,55
2025-12-27,Rajasthan,Jaipur,302032,1,5,6
2025-12-27,Rajasthan,Jaipur,302033,18,16,34
2025-12-27,Rajasthan,Jaipur,303001,9,20,29
2025-12-27,Rajasthan,Jaipur,303003,13,6,19
2025-12-27,Rajasthan,Jaipur,303005,21,16,37
2025-12-27,Rajasthan,Jaipur,303009,14,10,24
2025-12-27,Rajasthan,Jaipur,303102,11,7,18
2025-12-27,Rajasthan,Jaipur,303103,30,16,46
2025-12-27,Rajasthan,Jaipur,303104,17,10,27
2025-12-27,Rajasthan,Jaipur,303105,11,10,21
2025-12-27,Rajasthan,Jaipur,303106,5,17,22
2025-12-27,Rajasthan,Jaipur,303301,32,24,56
2025-12-27,Rajasthan,Jaipur,303601,6,4,10
2025-12-27,Rajasthan,Jaipur,303603,12,16,28
2025-12-27,Rajasthan,Jaipur,303604,13,23,36
2025-12-27,Rajasthan,Jaipur,303701,10,8,18
2025-12-27,Rajasthan,Jaipur,303704,5,6,11
2025-12-27,Rajasthan,Jaipur,303706,7,10,17
2025-12-27,Rajasthan,Jaipur,303807,7,5,12
2025-12-27,Rajasthan,Jaipur,303901,20,19,39
2025-12-27,Rajasthan,Jaipur,303908,20,15,35
2026-01-01,Rajasthan,Jaipur,302011,2,5,7
2026-01-01,Rajasthan,Jaipur,302018,19,11,30
2026-01-01,Rajasthan,Jaipur,302022,3,11,14
2026-01-01,Rajasthan,Jaipur,302023,0,6,6
2026-01-01,Rajasthan,Jaipur,302037,1,2,3
2026-01-01,Rajasthan,Jaipur,303003,16,9,25
2026-01-01,Rajasthan,Jaipur,303106,12,25,37
2026-01-01,Rajasthan,Jaipur,303301,25,19,44
2026-01-01,Rajasthan,Jaipur,303302,10,11,21
2026-01-01,Rajasthan,Jaipur,303338,36,38,74
2026-01-01,Rajasthan,Jaipur,303903,19,21,40
2026-01-01,Rajasthan,Jaipur,303904,21,14,35
2025-12-29,Rajasthan,Jaipur,302002,21,36,57
2025-12-29,Rajasthan,Jaipur,302016,18,23,41
2025-12-29,Rajasthan,Jaipur,302019,11,13,24
2025-12-29,Rajasthan,Jaipur,302022,3,6,9
2025-12-29,Rajasthan,Jaipur,302029,24,16,40
2025-12-29,Rajasthan,Jaipur,302031,39,33,72
2025-12-29,Rajasthan,Jaipur,303002,5,7,12
2025-12-29,Rajasthan,Jaipur,303006,1,2,3
2025-12-29,Rajasthan,Jaipur,303007,19,13,32
2025-12-29,Rajasthan,Jaipur,303121,0,1,1
2025-12-29,Rajasthan,Jaipur,303302,8,2,10
2025-12-29,Rajasthan,Jaipur,303507,2,1,3
2025-12-29,Rajasthan,Jaipur,303704,13,3,16
2025-12-29,Rajasthan,Jaipur,303802,3,0,3
2025-12-29,Rajasthan,Jaipur,303806,14,7,21
2025-12-25,Rajasthan,Jaipur,303001,0,5,5
2025-12-25,Rajasthan,Jaipur,303103,0,8,8
2025-12-25,Rajasthan,Jaipur,303121,0,1,1
2025-11-29,Rajasthan,Jaipur,303903,0,4,4
2025-11-30,Rajasthan,Jaipur,302004,0,9,9
2025-11-30,Rajasthan,Jaipur,302039,2,14,16
2025-11-30,Rajasthan,Jaipur,303001,0,3,3
2025-11-30,Rajasthan,Jaipur,303104,0,4,4
2025-11-30,Rajasthan,Jaipur,303119,0,1,1
2025-11-30,Rajasthan,Jaipur,303338,0,3,3
2025-11-23,Rajasthan,Jaipur,302028,0,4,4
2025-11-23,Rajasthan,Jaipur,303003,0,1,1
2025-11-23,Rajasthan,Jaipur,303348,0,1,1
2025-11-23,Rajasthan,Jaipur,303604,0,5,5
2025-11-23,Rajasthan,Jaipur,303801,0,2,2
2025-11-24,Rajasthan,Jaipur,303123,0,1,1
2025-11-26,Rajasthan,Jaipur,302005,0,3,3
2025-11-26,Rajasthan,Jaipur,303121,0,1,1
2025-11-20,Rajasthan,Jaipur,302037,0,3,3
2025-12-21,Rajasthan,Jaipur,303001,1,4,5
2025-12-21,Rajasthan,Jaipur,303120,0,7,7
2025-12-21,Rajasthan,Jaipur,303801,0,9,9
2025-12-12,Rajasthan,Jaipur,303004,0,4,4
2025-12-13,Rajasthan,Jaipur,302005,0,3,3
2025-12-14,Rajasthan,Jaipur,302023,0,1,1
2025-12-14,Rajasthan,Jaipur,302039,4,12,16
2025-12-14,Rajasthan,Jaipur,303001,1,3,4
2025-12-14,Rajasthan,Jaipur,303003,0,4,4
2025-12-14,Rajasthan,Jaipur,303805,0,3,3
2025-12-06,Rajasthan,Jaipur,302025,0,1,1
2025-12-09,Rajasthan,Jaipur,302023,1,3,4
2025-12-09,Rajasthan,Jaipur,302037,0,1,1
2025-12-07,Rajasthan,Jaipur,302013,0,13,13
2025-12-07,Rajasthan,Jaipur,302020,2,17,19
2025-12-07,Rajasthan,Jaipur,302027,2,35,37
2025-12-07,Rajasthan,Jaipur,303119,0,3,3
2025-12-07,Rajasthan,Jaipur,303507,0,2,2
2025-12-07,Rajasthan,Jaipur,303706,0,5,5
2025-12-07,Rajasthan,Jaipur,303712,0,2,2
2025-12-07,Rajasthan,Jaipur,303803,0,4,4
2025-12-07,Rajasthan,Jaipur,303804,0,2,2
2025-12-07,Rajasthan,Jaipur,303805,1,13,14
2025-12-07,Rajasthan,Jaipur,303903,0,5,5
2025-12-10,Rajasthan,Jaipur,302032,0,2,2
2025-11-15,Rajasthan,Jaipur,302005,0,1,1
2025-11-16,Rajasthan,Jaipur,302023,0,2,2
2025-11-16,Rajasthan,Jaipur,303110,0,4,4
2025-11-16,Rajasthan,Jaipur,303305,0,2,2
2025-11-16,Rajasthan,Jaipur,303507,0,1,1
2025-11-16,Rajasthan,Jaipur,303603,1,5,6
2025-11-02,Rajasthan,Jaipur,302022,1,1,2
2025-11-02,Rajasthan,Jaipur,303305,0,2,2
2025-11-02,Rajasthan,Jaipur,303603,0,5,5
2025-11-02,Rajasthan,Jaipur,303805,0,4,4
2025-11-05,Rajasthan,Jaipur,303006,1,4,5
2025-11-05,Rajasthan,Jaipur,303601,0,6,6
2025-11-05,Rajasthan,Jaipur,303904,0,4,4
2025-11-07,Rajasthan,Jaipur,302037,0,2,2
2025-11-07,Rajasthan,Jaipur,303507,0,4,4
2025-11-08,Rajasthan,Jaipur,303123,0,1,1
2025-11-09,Rajasthan,Jaipur,302005,0,2,2
2025-11-09,Rajasthan,Jaipur,302034,0,6,6
2025-11-09,Rajasthan,Jaipur,303107,0,4,4
2025-11-09,Rajasthan,Jaipur,303802,0,1,1
2025-10-29,Rajasthan,Jaipur,302011,0,4,4
2025-10-05,Rajasthan,Jaipur,303007,0,1,1
2025-10-05,Rajasthan,Jaipur,303012,1,11,12
2025-10-05,Rajasthan,Jaipur,303102,0,1,1
2025-10-05,Rajasthan,Jaipur,303103,0,1,1
2025-10-05,Rajasthan,Jaipur,303120,2,14,16
2025-10-05,Rajasthan,Jaipur,303348,0,1,1
2025-10-05,Rajasthan,Jaipur,303602,0,2,2
2025-10-05,Rajasthan,Jaipur,303712,0,4,4
2025-10-05,Rajasthan,Jaipur,303804,0,3,3
2025-09-21,Rajasthan,Jaipur,303005,0,2,2
2025-09-21,Rajasthan,Jaipur,303006,0,2,2
2025-09-21,Rajasthan,Jaipur,303102,0,2,2
2025-09-21,Rajasthan,Jaipur,303305,1,6,7
2025-09-21,Rajasthan,Jaipur,303338,1,3,4
2025-09-21,Rajasthan,Jaipur,303807,1,0,1
2025-09-28,Rajasthan,Jaipur,303302,0,1,1
2025-09-27,Rajasthan,Jaipur,303802,1,2,3
2025-09-14,Rajasthan,Jaipur,302023,0,1,1
2025-09-14,Rajasthan,Jaipur,303004,0,2,2
2025-09-14,Rajasthan,Jaipur,303110,0,1,1
2025-09-14,Rajasthan,Jaipur,303119,3,2,5
2025-09-14,Rajasthan,Jaipur,303804,0,5,5
2025-09-22,Rajasthan,Jaipur,303102,1,8,9
2025-10-21,Rajasthan,Jaipur,303003,0,3,3
2025-10-21,Rajasthan,Jaipur,303328,0,2,2
2025-10-21,Rajasthan,Jaipur,303338,1,2,3
2025-10-12,Rajasthan,Jaipur,302034,0,1,1
2025-10-12,Rajasthan,Jaipur,303003,0,1,1
2025-10-12,Rajasthan,Jaipur,303004,0,1,1
2025-10-12,Rajasthan,Jaipur,303103,0,2,2
2025-10-12,Rajasthan,Jaipur,303302,0,7,7
2025-10-12,Rajasthan,Jaipur,303704,0,3,3
2025-10-12,Rajasthan,Jaipur,303801,0,2,2
2025-10-12,Rajasthan,Jaipur,303803,0,2,2
2025-10-11,Rajasthan,Jaipur,303119,0,4,4
2025-10-23,Rajasthan,Jaipur,302024,1,0,1
2025-10-23,Rajasthan,Jaipur,302031,3,25,28
2025-10-20,Rajasthan,Jaipur,302016,0,20,20
2025-10-20,Rajasthan,Jaipur,302019,0,1,1
2025-10-20,Rajasthan,Jaipur,302021,0,2,2
2025-10-20,Rajasthan,Jaipur,302029,0,10,10
2025-10-20,Rajasthan,Jaipur,303012,0,2,2
2025-10-20,Rajasthan,Jaipur,303109,0,2,2
2025-10-20,Rajasthan,Jaipur,303348,0,1,1
2025-10-20,Rajasthan,Jaipur,303702,0,2,2
2025-10-20,Rajasthan,Jaipur,303904,0,3,3
2025-10-19,Rajasthan,Jaipur,302006,0,6,6
2025-10-19,Rajasthan,Jaipur,302020,0,2,2
2025-10-19,Rajasthan,Jaipur,303109,0,3,3
2025-10-19,Rajasthan,Jaipur,303110,0,1,1
2025-10-19,Rajasthan,Jaipur,303120,0,4,4
2025-10-19,Rajasthan,Jaipur,303301,0,2,2
2025-10-19,Rajasthan,Jaipur,303348,0,3,3
2025-10-19,Rajasthan,Jaipur,303801,0,1,1
2025-10-19,Rajasthan,Jaipur,303805,0,1,1
2025-10-19,Rajasthan,Jaipur,303901,0,3,3
2025-10-19,Rajasthan,Jaipur,303905,1,0,1
2025-10-26,Rajasthan,Jaipur,303009,0,2,2
2025-10-26,Rajasthan,Jaipur,303348,0,3,3
2025-10-26,Rajasthan,Jaipur,303602,0,7,7
2025-10-26,Rajasthan,Jaipur,303701,0,1,1
2025-10-26,Rajasthan,Jaipur,303904,0,3,3
2025-10-25,Rajasthan,Jaipur,303802,0,3,3
2025-10-14,Rajasthan,Jaipur,303121,1,1,2
2025-10-02,Rajasthan,Jaipur,302004,0,11,11
2025-10-02,Rajasthan,Jaipur,303007,0,5,5
2025-10-02,Rajasthan,Jaipur,303106,1,4,5
2025-10-02,Rajasthan,Jaipur,303712,0,1,1
2025-10-02,Rajasthan,Jaipur,303807,0,2,2
2025-10-02,Rajasthan,Jaipur,303904,0,4,4
2025-08-24,Rajasthan,Jaipur,302027,0,17,17
2025-08-24,Rajasthan,Jaipur,303004,0,1,1
2025-08-24,Rajasthan,Jaipur,303120,0,14,14
2025-08-24,Rajasthan,Jaipur,303603,0,3,3
2025-08-25,Rajasthan,Jaipur,302025,0,2,2
2025-09-07,Rajasthan,Jaipur,302026,0,6,6
2025-09-07,Rajasthan,Jaipur,303009,0,1,1
2025-09-07,Rajasthan,Jaipur,303103,1,5,6
2025-09-07,Rajasthan,Jaipur,303105,0,4,4
2025-09-07,Rajasthan,Jaipur,303106,4,6,10
2025-09-07,Rajasthan,Jaipur,303107,0,2,2
2025-09-07,Rajasthan,Jaipur,303604,1,1,2
2025-09-07,Rajasthan,Jaipur,303806,0,4,4
2025-09-07,Rajasthan,Jaipur,303908,0,7,7
2025-09-02,Rajasthan,Jaipur,303004,0,3,3
2025-08-29,Rajasthan,Jaipur,302037,0,2,2
2025-08-31,Rajasthan,Jaipur,302037,0,1,1
2025-08-31,Rajasthan,Jaipur,303110,0,4,4
2025-08-31,Rajasthan,Jaipur,303328,0,4,4
2025-08-31,Rajasthan,Jaipur,303806,0,2,2
2025-08-15,Rajasthan,Jaipur,302002,0,5,5
2025-08-15,Rajasthan,Jaipur,302029,0,8,8
2025-08-15,Rajasthan,Jaipur,302033,1,3,4
2025-08-15,Rajasthan,Jaipur,303102,1,1,2
2025-08-15,Rajasthan,Jaipur,303103,0,4,4
2025-08-15,Rajasthan,Jaipur,303108,0,5,5
2025-08-15,Rajasthan,Jaipur,303604,0,2,2
2025-08-15,Rajasthan,Jaipur,303802,0,4,4
2025-08-15,Rajasthan,Jaipur,303804,0,1,1
2025-08-17,Rajasthan,Jaipur,303002,1,9,10
2025-08-17,Rajasthan,Jaipur,303008,0,7,7
2025-08-17,Rajasthan,Jaipur,303102,0,2,2
2025-08-17,Rajasthan,Jaipur,303108,0,5,5
2025-08-17,Rajasthan,Jaipur,303109,0,3,3
2025-08-17,Rajasthan,Jaipur,303301,0,4,4
2025-08-17,Rajasthan,Jaipur,303507,0,1,1
2025-08-17,Rajasthan,Jaipur,303801,0,1,1
2025-08-17,Rajasthan,Jaipur,303903,0,8,8
2025-08-16,Rajasthan,Jaipur,303301,0,12,12
2025-08-16,Rajasthan,Jaipur,303601,0,1,1
2025-09-04,Rajasthan,Jaipur,303121,0,1,1
2025-08-10,Rajasthan,Jaipur,302023,0,2,2
2025-08-10,Rajasthan,Jaipur,303002,0,4,4
2025-08-10,Rajasthan,Jaipur,303107,0,9,9
2025-08-10,Rajasthan,Jaipur,303602,0,1,1
2025-08-10,Rajasthan,Jaipur,303901,1,14,15
2025-08-09,Rajasthan,Jaipur,302025,0,1,1
2025-08-09,Rajasthan,Jaipur,302034,1,2,3
2025-08-09,Rajasthan,Jaipur,303004,0,1,1
2025-08-09,Rajasthan,Jaipur,303804,0,8,8
2025-08-09,Rajasthan,Jaipur,303806,0,1,1
2025-10-05,Rajasthan,Jaipur,302001,0,2,2
2025-10-05,Rajasthan,Jaipur,302003,1,5,6
2025-10-05,Rajasthan,Jaipur,302027,0,1,1
2025-10-05,Rajasthan,Jaipur,302031,6,15,21
2025-10-05,Rajasthan,Jaipur,303110,0,1,1
2025-10-05,Rajasthan,Jaipur,303905,1,0,1
2025-10-04,Rajasthan,Jaipur,302002,16,31,47
2025-10-04,Rajasthan,Jaipur,302013,7,18,25
2025-10-04,Rajasthan,Jaipur,302018,12,18,30
2025-10-04,Rajasthan,Jaipur,302031,10,69,79
2025-10-04,Rajasthan,Jaipur,302033,6,20,26
2025-10-04,Rajasthan,Jaipur,303002,9,8,17
2025-10-04,Rajasthan,Jaipur,303007,14,10,24
2025-10-04,Rajasthan,Jaipur,303103,11,6,17
2025-10-04,Rajasthan,Jaipur,303106,3,10,13
2025-10-04,Rajasthan,Jaipur,303109,8,15,23
2025-10-04,Rajasthan,Jaipur,303110,1,3,4
2025-10-04,Rajasthan,Jaipur,303301,17,22,39
2025-10-04,Rajasthan,Jaipur,303348,9,8,17
2025-10-04,Rajasthan,Jaipur,303801,5,15,20
2025-10-04,Rajasthan,Jaipur,303803,4,3,7
2025-10-04,Rajasthan,Jaipur,303901,7,11,18
2025-10-04,Rajasthan,Jaipur,303904,5,7,12
2025-10-07,Rajasthan,Jaipur,302006,19,24,43
2025-10-07,Rajasthan,Jaipur,302017,17,28,45
2025-10-07,Rajasthan,Jaipur,302021,9,31,40
2025-10-07,Rajasthan,Jaipur,302026,3,17,20
2025-10-07,Rajasthan,Jaipur,302028,17,16,33
2025-10-07,Rajasthan,Jaipur,302034,6,6,12
2025-10-07,Rajasthan,Jaipur,303102,12,14,26
2025-10-07,Rajasthan,Jaipur,303120,17,20,37
2025-10-07,Rajasthan,Jaipur,303338,14,9,23
2025-10-07,Rajasthan,Jaipur,303804,3,11,14
2025-10-07,Rajasthan,Jaipur,303904,8,7,15
2025-10-06,Rajasthan,Jaipur,302002,17,23,40
2025-10-06,Rajasthan,Jaipur,302006,9,14,23
2025-10-06,Rajasthan,Jaipur,302021,5,19,24
2025-10-06,Rajasthan,Jaipur,302026,2,4,6
2025-10-06,Rajasthan,Jaipur,302034,3,6,9
2025-10-06,Rajasthan,Jaipur,302039,9,11,20
2025-10-06,Rajasthan,Jaipur,303009,6,8,14
2025-10-06,Rajasthan,Jaipur,303103,7,9,16
2025-10-06,Rajasthan,Jaipur,303105,12,6,18
2025-10-06,Rajasthan,Jaipur,303108,21,21,42
2025-10-06,Rajasthan,Jaipur,303109,18,26,44
2025-10-06,Rajasthan,Jaipur,303110,2,4,6
2025-10-06,Rajasthan,Jaipur,303119,4,6,10
2025-10-06,Rajasthan,Jaipur,303603,11,16,27
2025-10-06,Rajasthan,Jaipur,303702,9,9,18
2025-10-06,Rajasthan,Jaipur,303704,1,6,7
2025-10-06,Rajasthan,Jaipur,303804,4,3,7
2025-10-06,Rajasthan,Jaipur,303805,5,15,20
2025-10-06,Rajasthan,Jaipur,303806,12,6,18
2025-11-13,Rajasthan,Jaipur,302002,46,102,148
2025-11-13,Rajasthan,Jaipur,302012,32,110,142
2025-11-13,Rajasthan,Jaipur,302020,15,34,49
2025-11-13,Rajasthan,Jaipur,302022,8,6,14
2025-11-13,Rajasthan,Jaipur,302026,4,10,14
2025-11-13,Rajasthan,Jaipur,302028,27,47,74
2025-11-13,Rajasthan,Jaipur,302032,0,4,4
2025-11-13,Rajasthan,Jaipur,302034,6,13,19
2025-11-13,Rajasthan,Jaipur,303002,17,7,24
2025-11-13,Rajasthan,Jaipur,303004,0,7,7
2025-11-13,Rajasthan,Jaipur,303009,10,11,21
2025-11-13,Rajasthan,Jaipur,303102,8,13,21
2025-11-13,Rajasthan,Jaipur,303104,9,15,24
2025-11-13,Rajasthan,Jaipur,303119,5,8,13
2025-11-13,Rajasthan,Jaipur,303338,18,25,43
2025-11-13,Rajasthan,Jaipur,303702,10,16,26
2025-11-13,Rajasthan,Jaipur,303706,3,14,17
2025-11-13,Rajasthan,Jaipur,303801,11,12,23
2025-11-13,Rajasthan,Jaipur,303805,14,17,31
2025-11-13,Rajasthan,Jaipur,303904,17,17,34
2025-11-12,Rajasthan,Jaipur,302003,38,80,118
2025-11-12,Rajasthan,Jaipur,302005,1,2,3
2025-11-12,Rajasthan,Jaipur,302012,60,124,184
2025-11-12,Rajasthan,Jaipur,302015,1,13,14
2025-11-12,Rajasthan,Jaipur,302020,14,23,37
2025-11-12,Rajasthan,Jaipur,302024,0,2,2
2025-11-12,Rajasthan,Jaipur,302029,21,47,68
2025-11-12,Rajasthan,Jaipur,302032,0,12,12
2025-11-12,Rajasthan,Jaipur,302034,6,10,16
2025-11-12,Rajasthan,Jaipur,303005,17,9,26
2025-11-12,Rajasthan,Jaipur,303006,4,9,13
2025-11-12,Rajasthan,Jaipur,303009,7,14,21
2025-11-12,Rajasthan,Jaipur,303121,2,0,2
2025-11-12,Rajasthan,Jaipur,303305,11,11,22
2025-11-12,Rajasthan,Jaipur,303348,12,7,19
2025-11-12,Rajasthan,Jaipur,303712,3,11,14
2025-11-12,Rajasthan,Jaipur,303804,5,9,14
2025-11-12,Rajasthan,Jaipur,303901,7,21,28
2025-11-12,Rajasthan,Jaipur,303903,9,21,30
2025-11-02,Rajasthan,Jaipur,303003,3,0,3
2025-11-02,Rajasthan,Jaipur,303012,0,4,4
2025-11-02,Rajasthan,Jaipur,303301,0,2,2
2025-11-02,Rajasthan,Jaipur,303804,0,1,1
2025-11-02,Rajasthan,Jaipur,303903,6,1,7
2025-11-03,Rajasthan,Jaipur,302005,1,3,4
2025-11-03,Rajasthan,Jaipur,302021,13,32,45
2025-11-03,Rajasthan,Jaipur,302037,0,1,1
2025-11-03,Rajasthan,Jaipur,302039,10,17,27
2025-11-03,Rajasthan,Jaipur,303005,11,10,21
2025-11-03,Rajasthan,Jaipur,303007,6,13,19
2025-11-03,Rajasthan,Jaipur,303121,0,1,1
2025-11-03,Rajasthan,Jaipur,303301,15,22,37
2025-11-03,Rajasthan,Jaipur,303348,2,4,6
2025-11-03,Rajasthan,Jaipur,303603,8,11,19
2025-11-03,Rajasthan,Jaipur,303706,3,5,8
2025-11-03,Rajasthan,Jaipur,303805,4,8,12
2025-11-03,Rajasthan,Jaipur,303903,5,10,15
2025-11-01,Rajasthan,Jaipur,302002,20,30,50
2025-11-01,Rajasthan,Jaipur,302006,4,22,26
2025-11-01,Rajasthan,Jaipur,302011,1,0,1
2025-11-01,Rajasthan,Jaipur,302020,9,19,28
2025-11-01,Rajasthan,Jaipur,302023,0,2,2
2025-11-01,Rajasthan,Jaipur,302024,0,2,2
2025-11-01,Rajasthan,Jaipur,303006,0,1,1
2025-11-01,Rajasthan,Jaipur,303009,2,6,8
2025-11-01,Rajasthan,Jaipur,303012,2,5,7
