date,state,district,pincode,demo_age_5_17,demo_age_17_,total_updates
2025-09-04,Rajasthan,Jaipur,303121,0,1,1
2025-09-04,Rajasthan,Jaipur,303704,0,10,10
2025-09-04,Rajasthan,Jaipur,303804,1,21,22
2025-09-04,Rajasthan,Jaipur,303806,3,5,8
2025-09-05,Rajasthan,Jaipur,302001,1,15,16
2025-09-05,Rajasthan,Jaipur,302002,3,27,30
2025-09-05,Rajasthan,Jaipur,302003,1,20,21
2025-09-05,Rajasthan,Jaipur,302012,13,89,102
2025-09-05,Rajasthan,Jaipur,302016,1,34,35
2025-09-05,Rajasthan,Jaipur,302022,0,7,7
2025-09-05,Rajasthan,Jaipur,302026,1,14,15
2025-09-05,Rajasthan,Jaipur,302027,0,19,19
2025-09-05,Rajasthan,Jaipur,302028,0,12,12
2025-09-05,Rajasthan,Jaipur,302033,3,14,17
2025-09-05,Rajasthan,Jaipur,303006,0,6,6
2025-09-05,Rajasthan,Jaipur,303009,0,4,4
2025-09-05,Rajasthan,Jaipur,303103,0,11,11
2025-09-05,Rajasthan,Jaipur,303104,1,8,9
2025-09-05,Rajasthan,Jaipur,303119,0,6,6
2025-09-05,Rajasthan,Jaipur,303802,0,1,1
2025-09-05,Rajasthan,Jaipur,303805,0,12,12
2025-09-05,Rajasthan,Jaipur,303806,1,5,6
2025-09-05,Rajasthan,Jaipur,303905,1,7,8
2025-09-07,Rajasthan,Jaipur,302016,0,9,9
2025-09-07,Rajasthan,Jaipur,302017,2,15,17
2025-09-07,Rajasthan,Jaipur,302026,0,5,5
2025-09-07,Rajasthan,Jaipur,302034,0,6,6
2025-09-07,Rajasthan,Jaipur,303009,0,1,1
2025-09-07,Rajasthan,Jaipur,303103,1,4,5
2025-09-07,Rajasthan,Jaipur,303105,0,4,4
2025-09-07,Rajasthan,Jaipur,303106,4,6,10
2025-09-07,Rajasthan,Jaipur,303107,0,2,2
2025-09-07,Rajasthan,Jaipur,303301,1,2,3
2025-09-07,Rajasthan,Jaipur,303602,0,1,1
2025-09-07,Rajasthan,Jaipur,303604,1,1,2
2025-09-07,Rajasthan,Jaipur,303806,0,3,3
2025-09-07,Rajasthan,Jaipur,303908,1,7,8
2025-09-06,Rajasthan,Jaipur,302015,6,13,19
2025-09-06,Rajasthan,Jaipur,302019,2,19,21
2025-09-06,Rajasthan,Jaipur,302023,0,2,2
2025-09-06,Rajasthan,Jaipur,302028,0,8,8
2025-09-06,Rajasthan,Jaipur,303007,3,10,13
2025-09-06,Rajasthan,Jaipur,303103,2,17,19
2025-09-06,Rajasthan,Jaipur,303301,5,14,19
2025-09-06,Rajasthan,Jaipur,303302,0,7,7
2025-09-06,Rajasthan,Jaipur,303602,0,10,10
2025-09-06,Rajasthan,Jaipur,303604,2,18,20
2025-09-06,Rajasthan,Jaipur,303704,0,6,6
2025-09-06,Rajasthan,Jaipur,303804,1,12,13
2025-09-06,Rajasthan,Jaipur,303901,3,16,19
2025-09-06,Rajasthan,Jaipur,303908,3,9,12
2025-09-09,Rajasthan,Jaipur,302006,0,30,30
2025-09-09,Rajasthan,Jaipur,302013,3,37,40
2025-09-09,Rajasthan,Jaipur,302020,3,45,48
2025-09-09,Rajasthan,Jaipur,302022,0,9,9
2025-09-09,Rajasthan,Jaipur,302027,1,11,12
2025-09-09,Rajasthan,Jaipur,302028,1,13,14
2025-09-09,Rajasthan,Jaipur,302029,7,51,58
2025-09-09,Rajasthan,Jaipur,302031,0,31,31
2025-09-09,Rajasthan,Jaipur,302032,1,3,4
2025-09-09,Rajasthan,Jaipur,302034,0,11,11
2025-09-09,Rajasthan,Jaipur,303003,0,2,2
2025-09-09,Rajasthan,Jaipur,303008,7,21,28
2025-09-09,Rajasthan,Jaipur,303108,3,20,23
2025-09-09,Rajasthan,Jaipur,303120,3,13,16
2025-09-09,Rajasthan,Jaipur,303706,1,7,8
2025-09-09,Rajasthan,Jaipur,303804,6,12,18
2025-09-09,Rajasthan,Jaipur,303805,1,18,19
2025-09-09,Rajasthan,Jaipur,303904,2,14,16
2025-09-08,Rajasthan,Jaipur,302006,2,22,24
2025-09-08,Rajasthan,Jaipur,302026,3,20,23
2025-09-08,Rajasthan,Jaipur,302029,3,45,48
2025-09-08,Rajasthan,Jaipur,303008,1,31,32
2025-09-08,Rajasthan,Jaipur,303106,2,24,26
2025-09-08,Rajasthan,Jaipur,303119,2,9,11
2025-09-08,Rajasthan,Jaipur,303302,1,5,6
2025-09-08,Rajasthan,Jaipur,303328,2,17,19
2025-09-08,Rajasthan,Jaipur,303338,3,30,33
2025-09-08,Rajasthan,Jaipur,303507,0,2,2
2025-09-08,Rajasthan,Jaipur,303604,0,7,7
2025-09-08,Rajasthan,Jaipur,303701,2,11,13
2025-09-08,Rajasthan,Jaipur,303801,4,9,13
2025-09-08,Rajasthan,Jaipur,303804,1,3,4
2025-09-08,Rajasthan,Jaipur,303905,1,9,10
2025-09-10,Rajasthan,Jaipur,302001,2,27,29
2025-09-10,Rajasthan,Jaipur,302018,3,13,16
2025-09-10,Rajasthan,Jaipur,302019,2,17,19
2025-09-10,Rajasthan,Jaipur,302022,0,8,8
2025-09-10,Rajasthan,Jaipur,302023,0,3,3
2025-09-10,Rajasthan,Jaipur,302024,0,1,1
2025-09-10,Rajasthan,Jaipur,302027,2,21,23
2025-09-10,Rajasthan,Jaipur,302032,0,5,5
2025-09-10,Rajasthan,Jaipur,302034,1,11,12
2025-09-10,Rajasthan,Jaipur,303008,2,33,35
2025-09-10,Rajasthan,Jaipur,303102,3,8,11
2025-09-10,Rajasthan,Jaipur,303106,8,36,44
2025-09-10,Rajasthan,Jaipur,303302,2,2,4
2025-09-10,Rajasthan,Jaipur,303305,8,14,22
2025-09-10,Rajasthan,Jaipur,303328,1,14,15
2025-09-10,Rajasthan,Jaipur,303348,3,14,17
2025-09-10,Rajasthan,Jaipur,303801,3,10,13
2025-09-10,Rajasthan,Jaipur,303802,0,4,4
2025-09-10,Rajasthan,Jaipur,303901,5,24,29
2025-09-10,Rajasthan,Jaipur,303903,2,9,11
2025-09-11,Rajasthan,Jaipur,302016,5,39,44
2025-09-11,Rajasthan,Jaipur,302018,2,11,13
2025-09-11,Rajasthan,Jaipur,302019,0,18,18
2025-09-11,Rajasthan,Jaipur,302022,0,7,7
2025-09-11,Rajasthan,Jaipur,302028,0,13,13
2025-09-11,Rajasthan,Jaipur,302037,0,1,1
2025-09-11,Rajasthan,Jaipur,303003,0,6,6
2025-09-11,Rajasthan,Jaipur,303004,1,3,4
2025-09-11,Rajasthan,Jaipur,303005,2,23,25
2025-09-11,Rajasthan,Jaipur,303006,1,9,10
2025-09-11,Rajasthan,Jaipur,303106,1,9,10
2025-09-11,Rajasthan,Jaipur,303109,0,11,11
2025-09-11,Rajasthan,Jaipur,303701,0,7,7
2025-09-11,Rajasthan,Jaipur,303704,0,12,12
2025-09-11,Rajasthan,Jaipur,303706,1,8,9
2025-09-12,Rajasthan,Jaipur,302011,2,2,4
2025-09-12,Rajasthan,Jaipur,302018,2,19,21
2025-09-12,Rajasthan,Jaipur,302019,2,30,32
2025-09-12,Rajasthan,Jaipur,302027,2,21,23
2025-09-12,Rajasthan,Jaipur,303002,1,12,13
2025-09-12,Rajasthan,Jaipur,303008,4,34,38
2025-09-12,Rajasthan,Jaipur,303105,1,14,15
2025-09-12,Rajasthan,Jaipur,303603,5,28,33
2025-09-12,Rajasthan,Jaipur,303604,1,15,16
2025-09-12,Rajasthan,Jaipur,303701,0,9,9
2025-09-12,Rajasthan,Jaipur,303801,1,11,12
2025-09-12,Rajasthan,Jaipur,303805,3,16,19
2025-09-12,Rajasthan,Jaipur,303807,0,2,2
2025-09-12,Rajasthan,Jaipur,303905,2,15,17
2025-09-13,Rajasthan,Jaipur,302001,1,18,19
2025-09-13,Rajasthan,Jaipur,302003,2,49,51
2025-09-13,Rajasthan,Jaipur,302021,9,35,44
2025-09-13,Rajasthan,Jaipur,303009,0,2,2
2025-09-13,Rajasthan,Jaipur,303301,4,18,22
2025-09-13,Rajasthan,Jaipur,303328,1,6,7
2025-09-13,Rajasthan,Jaipur,303704,1,0,1
2025-09-13,Rajasthan,Jaipur,303706,1,11,12
2025-09-13,Rajasthan,Jaipur,303712,2,10,12
2025-09-13,Rajasthan,Jaipur,303801,1,13,14
2025-09-13,Rajasthan,Jaipur,303802,1,5,6
2025-09-13,Rajasthan,Jaipur,303804,2,5,7
2025-09-13,Rajasthan,Jaipur,303805,2,10,12
2025-09-13,Rajasthan,Jaipur,303903,0,13,13
2025-09-14,Rajasthan,Jaipur,302002,1,33,34
2025-09-14,Rajasthan,Jaipur,302004,2,7,9
2025-09-14,Rajasthan,Jaipur,302019,1,6,7
2025-09-14,Rajasthan,Jaipur,302023,0,1,1
2025-09-14,Rajasthan,Jaipur,302034,0,4,4
2025-09-14,Rajasthan,Jaipur,302039,1,8,9
2025-09-14,Rajasthan,Jaipur,303004,0,2,2
2025-09-14,Rajasthan,Jaipur,303103,0,1,1
2025-09-14,Rajasthan,Jaipur,303110,0,1,1
2025-09-14,Rajasthan,Jaipur,303119,3,2,5
2025-09-14,Rajasthan,Jaipur,303305,0,9,9
2025-09-14,Rajasthan,Jaipur,303804,0,4,4
2025-09-15,Rajasthan,Jaipur,302001,1,31,32
2025-09-15,Rajasthan,Jaipur,302011,0,2,2
2025-09-15,Rajasthan,Jaipur,302015,0,14,14
2025-09-15,Rajasthan,Jaipur,302016,8,54,62
2025-09-15,Rajasthan,Jaipur,302022,1,4,5
2025-09-15,Rajasthan,Jaipur,302023,0,5,5
2025-09-15,Rajasthan,Jaipur,302024,0,5,5
2025-09-15,Rajasthan,Jaipur,302029,12,51,63
2025-09-15,Rajasthan,Jaipur,302031,1,33,34
2025-09-15,Rajasthan,Jaipur,303005,4,26,30
2025-09-15,Rajasthan,Jaipur,303008,2,23,25
2025-09-15,Rajasthan,Jaipur,303102,2,13,15
2025-09-15,Rajasthan,Jaipur,303103,2,21,23
2025-09-15,Rajasthan,Jaipur,303105,3,7,10
2025-09-15,Rajasthan,Jaipur,303109,1,13,14
2025-09-15,Rajasthan,Jaipur,303110,1,13,14
2025-09-15,Rajasthan,Jaipur,303301,5,28,33
2025-09-15,Rajasthan,Jaipur,303305,7,12,19
2025-09-15,Rajasthan,Jaipur,303601,1,3,4
2025-09-15,Rajasthan,Jaipur,303602,1,7,8
2025-09-15,Rajasthan,Jaipur,303712,1,7,8
2025-09-15,Rajasthan,Jaipur,303904,3,11,14
2025-09-15,Rajasthan,Jaipur,303905,2,9,11
2025-09-17,Rajasthan,Jaipur,302001,1,30,31
2025-09-17,Rajasthan,Jaipur,302006,2,24,26
2025-09-17,Rajasthan,Jaipur,302015,2,24,26
2025-09-17,Rajasthan,Jaipur,302029,3,50,53
2025-09-17,Rajasthan,Jaipur,302031,5,49,54
2025-09-17,Rajasthan,Jaipur,302034,2,4,6
2025-09-17,Rajasthan,Jaipur,303003,2,10,12
2025-09-17,Rajasthan,Jaipur,303004,0,1,1
2025-09-17,Rajasthan,Jaipur,303006,2,8,10
2025-09-17,Rajasthan,Jaipur,303107,0,8,8
2025-09-17,Rajasthan,Jaipur,303302,1,7,8
2025-09-17,Rajasthan,Jaipur,303338,0,19,19
2025-09-17,Rajasthan,Jaipur,303601,1,6,7
2025-09-17,Rajasthan,Jaipur,303712,1,7,8
2025-09-17,Rajasthan,Jaipur,303801,2,12,14
2025-09-17,Rajasthan,Jaipur,303805,4,16,20
2025-09-16,Rajasthan,Jaipur,302006,1,21,22
2025-09-16,Rajasthan,Jaipur,302017,6,56,62
2025-09-16,Rajasthan,Jaipur,302032,0,5,5
2025-09-16,Rajasthan,Jaipur,303008,4,26,30
2025-09-16,Rajasthan,Jaipur,303009,1,6,7
2025-09-16,Rajasthan,Jaipur,303102,3,8,11
2025-09-16,Rajasthan,Jaipur,303107,1,14,15
2025-09-16,Rajasthan,Jaipur,303109,0,11,11
2025-09-16,Rajasthan,Jaipur,303110,1,8,9
2025-09-16,Rajasthan,Jaipur,303604,1,18,19
2025-09-16,Rajasthan,Jaipur,303704,1,5,6
2025-09-16,Rajasthan,Jaipur,303904,3,9,12
2025-09-18,Rajasthan,Jaipur,302001,2,22,24
2025-09-18,Rajasthan,Jaipur,302002,3,48,51
2025-09-18,Rajasthan,Jaipur,302032,0,7,7
2025-09-18,Rajasthan,Jaipur,302039,3,24,27
2025-09-18,Rajasthan,Jaipur,303008,5,13,18
2025-09-18,Rajasthan,Jaipur,303105,1,7,8
2025-09-18,Rajasthan,Jaipur,303108,4,19,23
2025-09-18,Rajasthan,Jaipur,303712,1,4,5
2025-09-18,Rajasthan,Jaipur,303802,0,3,3
2025-09-18,Rajasthan,Jaipur,303807,0,6,6
2025-09-19,Rajasthan,Jaipur,302001,2,21,23
2025-09-19,Rajasthan,Jaipur,302004,2,39,41
2025-09-19,Rajasthan,Jaipur,302023,0,3,3
2025-09-19,Rajasthan,Jaipur,302031,2,32,34
2025-09-19,Rajasthan,Jaipur,302037,0,4,4
2025-09-19,Rajasthan,Jaipur,302039,2,26,28
2025-09-19,Rajasthan,Jaipur,303012,4,22,26
2025-09-19,Rajasthan,Jaipur,303105,1,10,11
2025-09-19,Rajasthan,Jaipur,303106,5,19,24
2025-09-19,Rajasthan,Jaipur,303109,1,11,12
2025-09-19,Rajasthan,Jaipur,303803,1,6,7
2025-09-19,Rajasthan,Jaipur,303805,0,16,16
2025-09-19,Rajasthan,Jaipur,303904,1,12,13
2025-09-20,Rajasthan,Jaipur,302005,0,1,1
2025-09-20,Rajasthan,Jaipur,302016,4,48,52
2025-09-20,Rajasthan,Jaipur,302021,0,29,29
2025-09-20,Rajasthan,Jaipur,302031,5,38,43
2025-09-20,Rajasthan,Jaipur,303009,0,5,5
2025-09-20,Rajasthan,Jaipur,303105,3,13,16
2025-09-20,Rajasthan,Jaipur,303119,0,7,7
2025-09-20,Rajasthan,Jaipur,303120,0,3,3
2025-09-20,Rajasthan,Jaipur,303302,1,4,5
2025-09-20,Rajasthan,Jaipur,303328,0,6,6
2025-09-20,Rajasthan,Jaipur,303702,3,6,9
2025-09-20,Rajasthan,Jaipur,303803,0,2,2
2025-09-20,Rajasthan,Jaipur,303905,0,4,4
2025-10-13,Rajasthan,Jaipur,302006,1,11,12
2025-10-13,Rajasthan,Jaipur,302015,0,6,6
2025-10-13,Rajasthan,Jaipur,302019,0,6,6
2025-10-13,Rajasthan,Jaipur,302021,0,7,7
2025-10-13,Rajasthan,Jaipur,302033,0,2,2
2025-10-13,Rajasthan,Jaipur,303005,0,6,6
2025-10-13,Rajasthan,Jaipur,303006,0,4,4
2025-10-13,Rajasthan,Jaipur,303007,0,3,3
2025-10-13,Rajasthan,Jaipur,303008,0,10,10
2025-10-13,Rajasthan,Jaipur,303009,0,1,1
2025-10-13,Rajasthan,Jaipur,303012,4,10,14
2025-10-13,Rajasthan,Jaipur,303120,0,7,7
2025-10-13,Rajasthan,Jaipur,303338,0,8,8
2025-10-13,Rajasthan,Jaipur,303507,0,1,1
2025-10-13,Rajasthan,Jaipur,303702,0,11,11
2025-10-13,Rajasthan,Jaipur,303905,0,9,9
2025-10-15,Rajasthan,Jaipur,302013,0,26,26
2025-10-15,Rajasthan,Jaipur,302019,4,27,31
2025-10-15,Rajasthan,Jaipur,302024,0,2,2
2025-10-15,Rajasthan,Jaipur,302028,0,10,10
2025-10-15,Rajasthan,Jaipur,302029,4,53,57
2025-10-15,Rajasthan,Jaipur,302034,2,15,17
2025-10-15,Rajasthan,Jaipur,303001,0,4,4
2025-10-15,Rajasthan,Jaipur,303106,4,26,30
2025-10-15,Rajasthan,Jaipur,303109,1,12,13
2025-10-15,Rajasthan,Jaipur,303119,0,9,9
2025-10-15,Rajasthan,Jaipur,303120,2,11,13
2025-10-15,Rajasthan,Jaipur,303121,2,1,3
2025-10-15,Rajasthan,Jaipur,303338,1,9,10
2025-10-15,Rajasthan,Jaipur,303348,4,8,12
2025-10-15,Rajasthan,Jaipur,303604,3,10,13
2025-10-15,Rajasthan,Jaipur,303704,1,13,14
2025-10-15,Rajasthan,Jaipur,303712,2,8,10
2025-10-15,Rajasthan,Jaipur,303802,0,3,3
2025-10-16,Rajasthan,Jaipur,302016,7,50,57
2025-10-16,Rajasthan,Jaipur,302017,4,49,53
2025-10-16,Rajasthan,Jaipur,302020,4,52,56
2025-10-16,Rajasthan,Jaipur,302023,1,3,4
2025-10-16,Rajasthan,Jaipur,302039,7,39,46
2025-10-16,Rajasthan,Jaipur,303003,1,10,11
2025-10-16,Rajasthan,Jaipur,303005,3,14,17
2025-10-16,Rajasthan,Jaipur,303103,3,23,26
2025-10-16,Rajasthan,Jaipur,303104,2,9,11
2025-10-16,Rajasthan,Jaipur,303305,4,9,13
2025-10-16,Rajasthan,Jaipur,303603,2,7,9
2025-10-16,Rajasthan,Jaipur,303604,3,13,16
2025-10-16,Rajasthan,Jaipur,303803,1,14,15
2025-10-16,Rajasthan,Jaipur,303804,3,9,12
2025-10-16,Rajasthan,Jaipur,303903,0,13,13
2025-10-16,Rajasthan,Jaipur,303905,3,13,16
2025-10-17,Rajasthan,Jaipur,302002,2,45,47
2025-10-17,Rajasthan,Jaipur,302011,1,2,3
2025-10-17,Rajasthan,Jaipur,302015,0,14,14
2025-10-17,Rajasthan,Jaipur,302018,1,5,6
2025-10-17,Rajasthan,Jaipur,302019,1,7,8
2025-10-17,Rajasthan,Jaipur,302026,2,11,13
2025-10-17,Rajasthan,Jaipur,302029,2,26,28
2025-10-17,Rajasthan,Jaipur,302034,0,3,3
2025-10-17,Rajasthan,Jaipur,303001,0,8,8
2025-10-17,Rajasthan,Jaipur,303008,4,16,20
2025-10-17,Rajasthan,Jaipur,303107,1,5,6
2025-10-17,Rajasthan,Jaipur,303301,6,18,24
2025-10-17,Rajasthan,Jaipur,303305,3,13,16
2025-10-17,Rajasthan,Jaipur,303338,1,12,13
2025-10-17,Rajasthan,Jaipur,303701,1,5,6
2025-10-17,Rajasthan,Jaipur,303704,0,2,2
2025-10-17,Rajasthan,Jaipur,303706,0,4,4
2025-10-17,Rajasthan,Jaipur,303904,0,5,5
2025-10-18,Rajasthan,Jaipur,302002,3,38,41
2025-10-18,Rajasthan,Jaipur,302004,6,13,19
2025-10-18,Rajasthan,Jaipur,302019,1,11,12
2025-10-18,Rajasthan,Jaipur,302021,6,23,29
2025-10-18,Rajasthan,Jaipur,302022,0,6,6
2025-10-18,Rajasthan,Jaipur,302026,0,13,13
2025-10-18,Rajasthan,Jaipur,302027,2,9,11
2025-10-18,Rajasthan,Jaipur,302039,4,10,14
2025-10-18,Rajasthan,Jaipur,303002,1,3,4
2025-10-18,Rajasthan,Jaipur,303003,1,3,4
2025-10-18,Rajasthan,Jaipur,303103,6,11,17
2025-10-18,Rajasthan,Jaipur,303104,4,12,16
2025-10-18,Rajasthan,Jaipur,303105,1,5,6
2025-10-18,Rajasthan,Jaipur,303119,1,6,7
2025-10-18,Rajasthan,Jaipur,303301,4,18,22
2025-10-18,Rajasthan,Jaipur,303305,1,9,10
2025-10-18,Rajasthan,Jaipur,303702,0,11,11
2025-10-18,Rajasthan,Jaipur,303806,2,3,5
2025-10-18,Rajasthan,Jaipur,303807,1,3,4
2025-10-18,Rajasthan,Jaipur,303904,0,7,7
2025-10-26,Rajasthan,Jaipur,302006,2,25,27
2025-10-26,Rajasthan,Jaipur,302011,0,1,1
2025-10-26,Rajasthan,Jaipur,302017,1,28,29
2025-10-26,Rajasthan,Jaipur,302019,0,12,12
2025-10-26,Rajasthan,Jaipur,302022,1,8,9
2025-10-26,Rajasthan,Jaipur,302028,1,9,10
2025-10-26,Rajasthan,Jaipur,302029,3,40,43
2025-10-26,Rajasthan,Jaipur,302039,5,21,26
2025-10-26,Rajasthan,Jaipur,303002,0,9,9
2025-10-26,Rajasthan,Jaipur,303009,2,5,7
2025-10-26,Rajasthan,Jaipur,303012,3,19,22
2025-10-26,Rajasthan,Jaipur,303110,0,15,15
2025-10-26,Rajasthan,Jaipur,303348,0,8,8
2025-10-26,Rajasthan,Jaipur,303507,0,3,3
2025-10-26,Rajasthan,Jaipur,303602,2,15,17
2025-10-26,Rajasthan,Jaipur,303603,2,19,21
2025-10-26,Rajasthan,Jaipur,303701,0,5,5
2025-10-26,Rajasthan,Jaipur,303712,1,8,9
2025-10-26,Rajasthan,Jaipur,303904,1,12,13
2025-10-26,Rajasthan,Jaipur,303905,1,5,6
2025-10-19,Rajasthan,Jaipur,302006,2,13,15
2025-10-19,Rajasthan,Jaipur,302016,1,31,32
2025-10-19,Rajasthan,Jaipur,302017,4,25,29
2025-10-19,Rajasthan,Jaipur,302020,3,34,37
2025-10-19,Rajasthan,Jaipur,302028,1,17,18
2025-10-19,Rajasthan,Jaipur,303005,6,3,9
2025-10-19,Rajasthan,Jaipur,303109,0,4,4
2025-10-19,Rajasthan,Jaipur,303110,3,0,3
2025-10-19,Rajasthan,Jaipur,303120,4,12,16
2025-10-19,Rajasthan,Jaipur,303301,3,7,10
2025-10-19,Rajasthan,Jaipur,303305,4,5,9
2025-10-19,Rajasthan,Jaipur,303348,2,7,9
2025-10-19,Rajasthan,Jaipur,303801,2,1,3
2025-10-19,Rajasthan,Jaipur,303805,2,7,9
2025-10-19,Rajasthan,Jaipur,303901,2,6,8
2025-10-19,Rajasthan,Jaipur,303905,0,8,8
2025-10-27,Rajasthan,Jaipur,302018,0,9,9
2025-10-27,Rajasthan,Jaipur,302019,1,12,13
2025-10-27,Rajasthan,Jaipur,302024,0,2,2
2025-10-27,Rajasthan,Jaipur,302028,0,8,8
2025-10-27,Rajasthan,Jaipur,302033,4,13,17
2025-10-27,Rajasthan,Jaipur,302039,1,12,13
2025-10-27,Rajasthan,Jaipur,303004,0,1,1
2025-10-27,Rajasthan,Jaipur,303005,1,3,4
2025-10-27,Rajasthan,Jaipur,303107,1,5,6
2025-10-27,Rajasthan,Jaipur,303120,1,1,2
2025-10-27,Rajasthan,Jaipur,303604,0,12,12
2025-10-27,Rajasthan,Jaipur,303702,1,8,9
2025-10-27,Rajasthan,Jaipur,303704,0,3,3
2025-10-27,Rajasthan,Jaipur,302003,4,21,25
2025-10-27,Rajasthan,Jaipur,302004,0,14,14
2025-11-02,Rajasthan,Jaipur,303003,0,3,3
2025-11-02,Rajasthan,Jaipur,303006,0,3,3
2025-11-02,Rajasthan,Jaipur,303348,0,3,3
2025-11-02,Rajasthan,Jaipur,303712,0,2,2
2025-10-20,Rajasthan,Jaipur,302003,2,11,13
2025-10-20,Rajasthan,Jaipur,302016,1,26,27
2025-10-20,Rajasthan,Jaipur,302019,0,2,2
2025-10-20,Rajasthan,Jaipur,302021,1,6,7
2025-10-20,Rajasthan,Jaipur,302029,0,10,10
2025-10-20,Rajasthan,Jaipur,302034,0,3,3
2025-10-20,Rajasthan,Jaipur,303008,3,3,6
2025-10-20,Rajasthan,Jaipur,303012,0,3,3
2025-10-20,Rajasthan,Jaipur,303109,1,3,4
2025-10-20,Rajasthan,Jaipur,303328,0,2,2
2025-10-20,Rajasthan,Jaipur,303348,2,0,2
2025-10-20,Rajasthan,Jaipur,303602,1,0,1
2025-10-20,Rajasthan,Jaipur,303603,0,4,4
2025-10-20,Rajasthan,Jaipur,303702,1,1,2
2025-10-20,Rajasthan,Jaipur,303904,0,2,2
2025-10-21,Rajasthan,Jaipur,302006,1,7,8
2025-10-21,Rajasthan,Jaipur,302016,1,8,9
2025-10-21,Rajasthan,Jaipur,302019,0,5,5
2025-10-21,Rajasthan,Jaipur,302022,1,5,6
2025-10-21,Rajasthan,Jaipur,302026,1,2,3
